### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Tue Sep 19 07:41:48 2006
Levelengine_version 1


Music land/cave_2.ogg
Background_color_1 80 80 80
Background_color_2 20 20 20


Player 113 174
camera_limits 0 0 20000 -4000
Sprite pipes/green/ver.png 1250 199 MASSIVE
Sprite pipes/green/ver.png 1250 249 MASSIVE
Sprite pipes/green/ver.png 1250 299 MASSIVE
Sprite pipes/green/ver.png 1514 99 MASSIVE
Sprite pipes/green/ver.png 1514 149 MASSIVE
Sprite pipes/green/ver.png 1514 199 MASSIVE
Sprite ground/sand_1/ground/left.png 1818 54 MASSIVE
Sprite ground/sand_1/ground/left.png 1818 109 MASSIVE
Sprite ground/sand_1/ground/left.png 1818 164 MASSIVE
Sprite ground/sand_1/ground/left_up.png 1818 219 MASSIVE
Sprite ground/sand_1/ground/up.png 1873 219 MASSIVE
Sprite pipes/green/up.png 986 249 MASSIVE
Sprite pipes/green/up.png 1250 349 MASSIVE
Sprite pipes/green/up.png 1514 249 MASSIVE
Sprite ground/sand_1/ground/up.png 1928 219 MASSIVE
Sprite ground/sand_1/ground/up.png 1983 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2038 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2093 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2148 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2203 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2258 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2313 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2368 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2423 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2478 219 MASSIVE
Sprite ground/sand_1/ground/up.png 2533 219 MASSIVE
Sprite ground/sand_1/ground/right_up.png 2588 219 MASSIVE
Sprite ground/sand_1/ground/right.png 2588 164 MASSIVE
Sprite ground/sand_1/ground/right.png 2588 109 MASSIVE
Sprite ground/sand_1/ground/right.png 2588 54 MASSIVE
Sprite ground/sand_1/ground/left.png 2422 384 MASSIVE
Sprite ground/sand_1/ground/right_up.png 2587 439 MASSIVE
Sprite ground/sand_1/ground/left_up.png 2422 439 MASSIVE
Sprite ground/sand_1/ground/right.png 2587 274 MASSIVE
Sprite ground/sand_1/ground/right.png 2587 329 MASSIVE
Sprite ground/sand_1/ground/right.png 2587 384 MASSIVE
Sprite ground/sand_1/ground/up.png 2532 439 MASSIVE
Sprite ground/sand_1/ground/up.png 2477 439 MASSIVE
Sprite ground/sand_1/ground/left.png 2422 329 MASSIVE
Sprite ground/sand_1/ground/left.png 2422 274 MASSIVE
Sprite ground/sand_1/ground/left_up.png 2862 439 MASSIVE
Sprite ground/sand_1/ground/left.png 2862 384 MASSIVE
Sprite ground/sand_1/ground/right_up.png 3082 439 MASSIVE
Sprite ground/sand_1/ground/right.png 3082 384 MASSIVE
Sprite ground/sand_1/ground/up.png 2917 439 MASSIVE
Sprite ground/sand_1/ground/left.png 2862 329 MASSIVE
Sprite ground/sand_1/ground/left.png 2862 274 MASSIVE
Sprite ground/sand_1/ground/left.png 2862 219 MASSIVE
Sprite ground/sand_1/ground/left.png 2862 164 MASSIVE
Sprite ground/sand_1/ground/left.png 2862 54 MASSIVE
Sprite ground/sand_1/ground/up.png 2972 439 MASSIVE
Sprite ground/sand_1/ground/up.png 3027 439 MASSIVE
Sprite ground/sand_1/ground/right.png 3082 329 MASSIVE
Sprite ground/sand_1/ground/right.png 3082 274 MASSIVE
Sprite ground/sand_1/ground/left_up.png 2862 109 MASSIVE
Sprite ground/sand_1/ground/up.png 2917 109 MASSIVE
Sprite ground/sand_1/ground/up.png 2972 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3027 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3082 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3137 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3192 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3247 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3302 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3357 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3412 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3467 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3522 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3577 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3632 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3687 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3742 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3797 109 MASSIVE
Sprite ground/sand_1/ground/right.png 3082 219 MASSIVE
Sprite ground/sand_1/ground/right.png 3082 164 MASSIVE
Sprite ground/sand_1/ground/left_up.png 3357 604 MASSIVE
Sprite ground/sand_1/ground/left_down.png 3357 549 MASSIVE
Sprite ground/sand_1/ground/up.png 3412 604 MASSIVE
Sprite ground/sand_1/ground/down.png 3412 549 MASSIVE
Sprite ground/sand_1/ground/up.png 3467 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3522 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3577 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3632 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3687 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3742 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3797 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3852 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3907 604 MASSIVE
Sprite ground/sand_1/ground/up.png 3962 604 MASSIVE
Sprite ground/sand_1/ground/down.png 3467 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3522 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3577 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3632 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3687 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3742 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3797 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3852 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3907 549 MASSIVE
Sprite ground/sand_1/ground/down.png 3962 549 MASSIVE
Sprite ground/sand_1/ground/right_up.png 4127 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3852 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3907 109 MASSIVE
Sprite ground/sand_1/ground/up.png 3962 109 MASSIVE
Sprite ground/sand_1/ground/up.png 4017 109 MASSIVE
Sprite ground/sand_1/ground/up.png 4072 109 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 54 MASSIVE
Sprite ground/sand_1/ground/left.png 4072 164 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 164 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 219 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 274 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 329 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 384 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 439 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 494 MASSIVE
Sprite ground/sand_1/ground/right.png 4127 549 MASSIVE
Sprite ground/sand_1/ground/left.png 4072 219 MASSIVE
Sprite ground/sand_1/ground/left.png 4072 274 MASSIVE
Sprite ground/sand_1/ground/left.png 4072 329 MASSIVE
Sprite ground/sand_1/ground/left.png 4072 384 MASSIVE
Sprite ground/sand_1/ground/left.png 4072 439 MASSIVE
Sprite ground/sand_1/ground/left.png 4072 494 MASSIVE
Sprite ground/sand_1/ground/down.png 4017 549 MASSIVE
Sprite ground/sand_1/ground/right_up.png 4127 604 MASSIVE
Sprite ground/sand_1/ground/left.png 4072 549 MASSIVE
Sprite ground/sand_1/ground/left_up.png 4072 604 MASSIVE
Sprite ground/sand_1/ground/up.png 4017 604 MASSIVE
Sprite ground/sand_1/ground/right_up.png 5447 164 MASSIVE
Sprite ground/sand_1/ground/left.png 4402 109 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 54 MASSIVE
Sprite ground/sand_1/ground/up.png 5337 384 MASSIVE
Sprite ground/sand_1/ground/down.png 5337 879 MASSIVE
Sprite ground/sand_1/ground/left_up.png 4402 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4457 164 MASSIVE
Sprite ground/sand_1/ground/left.png 4402 54 MASSIVE
Sprite ground/sand_1/ground/up.png 4512 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4567 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4622 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4677 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4732 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4787 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4842 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4897 164 MASSIVE
Sprite ground/sand_1/ground/up.png 4952 164 MASSIVE
Sprite ground/sand_1/ground/up.png 5007 164 MASSIVE
Sprite ground/sand_1/ground/up.png 5062 164 MASSIVE
Sprite ground/sand_1/ground/up.png 5117 164 MASSIVE
Sprite ground/sand_1/ground/up.png 5172 164 MASSIVE
Sprite ground/sand_1/ground/up.png 5227 164 MASSIVE
Sprite ground/sand_1/ground/up.png 5282 164 MASSIVE
Sprite ground/sand_1/ground/up.png 5337 164 MASSIVE
Sprite ground/sand_1/ground/up.png 5392 164 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 109 MASSIVE
Sprite ground/sand_1/ground/left_up.png 5282 384 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 219 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 274 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 329 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 384 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 439 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 494 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 549 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 604 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 659 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 714 MASSIVE
Sprite ground/sand_1/ground/left.png 5282 219 MASSIVE
Sprite ground/sand_1/ground/left.png 5282 274 MASSIVE
Sprite ground/sand_1/ground/left.png 5282 329 MASSIVE
Sprite ground/sand_1/ground/up.png 5392 384 MASSIVE
Sprite ground/sand_1/ground/up.png 5447 384 MASSIVE
Sprite ground/sand_1/ground/right_up.png 5447 384 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 439 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 494 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 549 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 604 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 659 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 714 MASSIVE
Sprite ground/sand_1/ground/left_up.png 5392 934 MASSIVE
Sprite ground/sand_1/ground/right_up.png 5447 934 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 769 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 824 MASSIVE
Sprite ground/sand_1/ground/right.png 5447 879 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 769 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 824 MASSIVE
Sprite ground/sand_1/ground/left.png 5392 879 MASSIVE
Sprite ground/sand_1/ground/up.png 5337 934 MASSIVE
Sprite ground/sand_1/ground/up.png 5282 934 MASSIVE
Sprite ground/sand_1/ground/up.png 5227 934 MASSIVE
Sprite ground/sand_1/ground/up.png 5172 934 MASSIVE
Sprite ground/sand_1/ground/up.png 5117 934 MASSIVE
Sprite ground/sand_1/ground/up.png 5062 934 MASSIVE
Sprite ground/sand_1/ground/up.png 5007 934 MASSIVE
Sprite ground/sand_1/ground/up.png 4952 934 MASSIVE
Sprite ground/sand_1/ground/up.png 4897 934 MASSIVE
Sprite ground/sand_1/ground/up.png 4842 934 MASSIVE
Sprite ground/sand_1/ground/up.png 4787 934 MASSIVE
Sprite ground/sand_1/ground/up.png 4732 934 MASSIVE
Sprite ground/sand_1/ground/down.png 5282 879 MASSIVE
Sprite ground/sand_1/ground/down.png 5227 879 MASSIVE
Sprite ground/sand_1/ground/down.png 5172 879 MASSIVE
Sprite ground/sand_1/ground/down.png 5117 879 MASSIVE
Sprite ground/sand_1/ground/down.png 5062 879 MASSIVE
Sprite ground/sand_1/ground/down.png 5007 879 MASSIVE
Sprite ground/sand_1/ground/down.png 4952 879 MASSIVE
Sprite ground/sand_1/ground/down.png 4897 879 MASSIVE
Sprite ground/sand_1/ground/down.png 4842 879 MASSIVE
Sprite ground/sand_1/ground/down.png 4787 879 MASSIVE
Sprite ground/sand_1/ground/down.png 4732 879 MASSIVE
Sprite ground/sand_1/ground/right_up.png 4512 1429 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 1374 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 659 MASSIVE
Sprite ground/sand_1/ground/left_up.png 4457 1429 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 1319 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 1264 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 1209 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 1154 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 1099 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 1044 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 989 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 934 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 879 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 824 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 769 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 714 MASSIVE
Sprite ground/sand_1/ground/left.png 4457 659 MASSIVE
Sprite ground/sand_1/ground/left_down.png 4457 604 MASSIVE
Sprite ground/sand_1/ground/right_down.png 4512 604 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 714 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 769 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 824 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 879 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 934 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 989 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 1044 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 1099 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 1154 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 1209 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 1264 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 1319 MASSIVE
Sprite ground/sand_1/ground/right.png 4512 1374 MASSIVE
Sprite blocks/stone/1.png 4567 593 MASSIVE
Sprite blocks/stone/1.png 4611 593 MASSIVE
Sprite blocks/stone/1.png 4655 593 MASSIVE
Sprite blocks/stone/1.png 4699 593 MASSIVE
Sprite blocks/stone/1.png 4743 593 MASSIVE
Sprite blocks/stone/1.png 4787 593 MASSIVE
Sprite blocks/stone/1.png 4831 593 MASSIVE
Sprite blocks/stone/1.png 4875 593 MASSIVE
Sprite blocks/stone/1.png 4919 593 MASSIVE
Sprite blocks/stone/1.png 4963 593 MASSIVE
Sprite blocks/stone/1.png 5007 593 MASSIVE
Sprite blocks/stone/1.png 5051 593 MASSIVE
Sprite blocks/stone/1.png 5095 593 MASSIVE
Sprite blocks/stone/1.png 5139 593 MASSIVE
Sprite blocks/stone/1.png 4567 680 MASSIVE
Sprite blocks/stone/1.png 4567 724 MASSIVE
Sprite ground/sand_1/ground/left_down.png 4677 879 MASSIVE
Sprite ground/sand_1/ground/left_up.png 4677 934 MASSIVE
Sprite ground/sand_1/ground/up.png 4567 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 4622 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 4677 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 4732 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 4787 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 4842 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 4897 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 4952 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 5007 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 5062 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 5117 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 5172 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 5227 1429 MASSIVE
Sprite ground/sand_1/ground/up.png 5282 1429 MASSIVE
Sprite ground/sand_1/ground/down.png 4567 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 4622 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 4677 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 4732 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 4787 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 4842 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 4897 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 4952 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 5007 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 5062 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 5117 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 5172 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 5227 1264 MASSIVE
Sprite ground/sand_1/ground/down.png 5282 1264 MASSIVE
Sprite ground/sand_1/ground/right_up.png 5337 1429 MASSIVE
Sprite ground/sand_1/ground/right_down.png 5337 1264 MASSIVE
Sprite ground/sand_1/ground/right.png 5337 1374 MASSIVE
Sprite ground/sand_1/ground/right.png 5337 1319 MASSIVE
Sprite ground/sand_1/ground/right.png 5337 1484 MASSIVE
Sprite ground/sand_1/ground/right.png 5337 1539 MASSIVE
Sprite ground/sand_1/ground/right.png 5337 1594 MASSIVE
Sprite ground/sand_1/ground/left.png 5282 1594 MASSIVE
Sprite ground/sand_1/ground/left_up.png 5282 1649 MASSIVE
Sprite ground/sand_1/ground/right_up.png 5337 1649 MASSIVE
Sprite ground/sand_1/ground/left.png 5282 1539 MASSIVE
Sprite ground/sand_1/ground/left.png 5282 1484 MASSIVE
Sprite ground/sand_1/ground/left_up.png 5557 1870 MASSIVE
Sprite ground/sand_1/ground/left_down.png 5557 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 5612 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 5667 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 5722 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 5777 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 5832 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 5887 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 5942 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 5997 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 6052 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 6107 1815 MASSIVE
Sprite ground/sand_1/ground/down.png 6162 1815 MASSIVE
Sprite ground/sand_1/ground/up.png 6162 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 6107 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 6052 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 5997 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 5942 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 5887 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 5832 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 5777 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 5722 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 5667 1870 MASSIVE
Sprite ground/sand_1/ground/up.png 5612 1870 MASSIVE
Sprite ground/sand_1/ground/left_up.png 5667 934 MASSIVE
Sprite ground/sand_1/ground/right_down.png 5722 879 MASSIVE
Sprite ground/sand_1/ground/right_up.png 5722 934 MASSIVE
Sprite ground/sand_1/ground/left_down.png 5667 879 MASSIVE
Sprite ground/sand_1/ground/left_up.png 5942 1099 MASSIVE
Sprite ground/sand_1/ground/left_down.png 5942 1044 MASSIVE
Sprite ground/sand_1/ground/right_up.png 5997 1099 MASSIVE
Sprite ground/sand_1/ground/right_down.png 5997 1044 MASSIVE
Sprite ground/sand_1/ground/right_up.png 5997 1099 MASSIVE
Sprite ground/sand_1/ground/right_up.png 6272 1264 MASSIVE
Sprite ground/sand_1/ground/right_up.png 6822 1594 MASSIVE
Sprite ground/sand_1/ground/left_up.png 6217 1264 MASSIVE
Sprite ground/sand_1/ground/left_up.png 6492 1429 MASSIVE
Sprite ground/sand_1/ground/left_up.png 6767 1594 MASSIVE
Sprite ground/sand_1/ground/left_down.png 6217 1209 MASSIVE
Sprite ground/sand_1/ground/left_down.png 6492 1374 MASSIVE
Sprite ground/sand_1/ground/left_down.png 6767 1539 MASSIVE
Sprite ground/sand_1/ground/right_down.png 6272 1209 MASSIVE
Sprite ground/sand_1/ground/right_down.png 6547 1374 MASSIVE
Sprite ground/sand_1/ground/right_down.png 6822 1539 MASSIVE
Sprite ground/sand_1/ground/right_up.png 6547 1429 MASSIVE
Sprite ground/sand_1/ground/down.png 4127 1484 MASSIVE
Sprite ground/sand_1/ground/right_up.png 4182 1539 MASSIVE
Sprite ground/sand_1/ground/right_down.png 4182 1484 MASSIVE
Sprite ground/sand_1/ground/up.png 4127 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 4072 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 4017 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 3962 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 3907 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 3852 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 3797 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 3742 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 3687 1539 MASSIVE
Sprite ground/sand_1/ground/up.png 3632 1539 MASSIVE
Sprite pipes/blue/ver.png -28 1864 MASSIVE
Sprite pipes/blue/ver.png -28 1914 MASSIVE
Sprite pipes/blue/ver.png -28 1964 MASSIVE
Sprite pipes/blue/ver.png -28 2014 MASSIVE
Sprite pipes/blue/ver.png -28 2064 MASSIVE
Sprite pipes/blue/ver.png -28 2114 MASSIVE
Sprite pipes/blue/ver.png -28 2164 MASSIVE
Sprite pipes/blue/ver.png -28 2214 MASSIVE
Sprite pipes/blue/ver.png -28 2264 MASSIVE
Sprite pipes/blue/ver.png -28 2314 MASSIVE
Sprite pipes/blue/ver.png -28 2364 MASSIVE
Sprite pipes/blue/ver.png -28 2414 MASSIVE
Sprite pipes/blue/ver.png -28 2464 MASSIVE
Sprite pipes/blue/ver.png -28 2514 MASSIVE
Sprite pipes/blue/ver.png -28 2564 MASSIVE
Sprite pipes/blue/ver.png -28 2614 MASSIVE
Sprite pipes/blue/ver.png -28 2664 MASSIVE
Sprite pipes/blue/ver.png -28 2714 MASSIVE
Sprite pipes/blue/ver.png -28 2764 MASSIVE
Sprite pipes/blue/ver.png -28 2814 MASSIVE
Sprite pipes/blue/ver.png -28 2864 MASSIVE
Sprite pipes/blue/ver.png -28 2914 MASSIVE
