### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Wed Oct 25 20:28:41 2006
Levelengine_version 1

version 0.1a

Music land/cave_1.ogg
Background_color_1 164 164 164
Background_color_2 32 32 32


Player 156 413
camera_limits 0 0 9830 -4000
Sprite ground/underground/ground/bottom/1.png 446 573 MASSIVE
Sprite ground/underground/ground/bottom/1.png 574 509 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 510 573 MASSIVE
Sprite ground/underground/ground/bottom/left.png 510 509 MASSIVE
Sprite ground/underground/ground/middle/left_top.png 510 125 MASSIVE
Sprite ground/underground/ground/top/left.png 510 189 MASSIVE
Sprite ground/underground/ground/middle/1.png 510 61 MASSIVE
Sprite ground/underground/ground/top/1.png 574 189 MASSIVE
Sprite ground/underground/ground/top/1.png 638 189 MASSIVE
Sprite ground/underground/ground/top/1.png 702 189 MASSIVE
Sprite ground/underground/ground/top/1.png 766 189 MASSIVE
Sprite ground/underground/ground/middle/1.png 574 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 638 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 574 61 MASSIVE
Sprite ground/underground/ground/middle/1.png 638 61 MASSIVE
Sprite ground/underground/ground/middle/1.png 702 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 766 125 MASSIVE
Sprite ground/underground/ground/middle/1.png 702 61 MASSIVE
Sprite ground/underground/ground/middle/1.png 766 61 MASSIVE
Sprite ground/underground/ground/bottom/1.png 638 509 MASSIVE
Sprite ground/underground/ground/middle/1.png 574 573 MASSIVE
Sprite ground/underground/ground/middle/1.png 574 637 MASSIVE
Sprite ground/underground/ground/middle/1.png 638 573 MASSIVE
Sprite ground/underground/ground/middle/1.png 638 637 MASSIVE
Sprite ground/underground/ground/middle/1.png 382 637 MASSIVE
Sprite ground/underground/ground/middle/1.png 382 701 MASSIVE
Sprite ground/underground/ground/middle/1.png 446 637 MASSIVE
Sprite ground/underground/ground/middle/1.png 446 701 MASSIVE
Sprite ground/underground/ground/middle/1.png 510 637 MASSIVE
Sprite ground/underground/ground/middle/1.png 510 701 MASSIVE
Sprite ground/underground/ground/middle/1.png 382 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 446 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 510 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 382 829 MASSIVE
Sprite ground/underground/ground/middle/1.png 446 829 MASSIVE
Sprite ground/underground/ground/middle/1.png 510 829 MASSIVE
Sprite ground/underground/ground/middle/1.png 574 701 MASSIVE
Sprite ground/underground/ground/middle/1.png 638 701 MASSIVE
Sprite ground/underground/ground/middle/1.png 702 701 MASSIVE
Sprite ground/underground/ground/middle/1.png 574 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 638 765 MASSIVE
Sprite ground/underground/ground/middle/1.png 702 765 MASSIVE
Sprite ground/underground/ground/top/right.png 830 189 MASSIVE
Sprite ground/underground/ground/middle/right.png 830 125 MASSIVE
Sprite ground/underground/ground/middle/right.png 830 61 MASSIVE
Sprite ground/underground/ground/top/left.png 1088 251 MASSIVE
Sprite ground/underground/ground/middle/left.png 1088 187 MASSIVE
Sprite ground/underground/ground/middle/left.png 1088 123 MASSIVE
Sprite ground/underground/ground/middle/left.png 1088 59 MASSIVE
Sprite ground/underground/ground/top/1.png 1152 251 MASSIVE
Sprite ground/underground/ground/top/1.png 1216 251 MASSIVE
Sprite ground/underground/ground/top/1.png 1280 251 MASSIVE
Sprite ground/underground/ground/top/1.png 1344 251 MASSIVE
Sprite ground/underground/ground/middle/1.png 1152 187 MASSIVE
Sprite ground/underground/ground/middle/1.png 1216 187 MASSIVE
Sprite ground/underground/ground/middle/1.png 1152 123 MASSIVE
Sprite ground/underground/ground/middle/1.png 1216 123 MASSIVE
Sprite ground/underground/ground/middle/1.png 1280 187 MASSIVE
Sprite ground/underground/ground/middle/1.png 1344 187 MASSIVE
Sprite ground/underground/ground/middle/1.png 1280 123 MASSIVE
Sprite ground/underground/ground/middle/1.png 1344 123 MASSIVE
Sprite ground/underground/ground/bottom/1.png 702 509 MASSIVE
Sprite ground/underground/ground/bottom/1.png 766 509 MASSIVE
Sprite ground/underground/ground/middle/1.png 702 573 MASSIVE
Sprite ground/underground/ground/middle/1.png 702 637 MASSIVE
Sprite ground/underground/ground/middle/1.png 766 573 MASSIVE
Sprite ground/underground/ground/middle/1.png 766 637 MASSIVE
Sprite ground/underground/ground/bottom/right.png 894 574 MASSIVE
Sprite ground/underground/ground/middle/right.png 894 638 MASSIVE
Sprite ground/underground/ground/middle/right_bottom.png 894 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 958 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1022 702 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 1086 702 MASSIVE
Sprite ground/underground/ground/middle/left.png 1086 638 MASSIVE
Sprite ground/underground/ground/bottom/left.png 1086 574 MASSIVE
Sprite ground/underground/ground/bottom/right.png 830 509 MASSIVE
Sprite ground/underground/ground/middle/right_bottom.png 830 573 MASSIVE
Sprite ground/underground/ground/top/1.png 1408 251 MASSIVE
Sprite ground/underground/ground/middle/1.png 1408 187 MASSIVE
Sprite ground/underground/ground/middle/1.png 1408 123 MASSIVE
Sprite ground/underground/ground/top/right.png 1472 251 MASSIVE
Sprite ground/underground/ground/middle/right.png 1472 187 MASSIVE
Sprite ground/underground/ground/middle/right.png 1472 123 MASSIVE
Sprite ground/underground/ground/top/left.png 1769 178 MASSIVE
Sprite ground/underground/ground/middle/left.png 1769 114 MASSIVE
Sprite ground/underground/ground/middle/left.png 1769 50 MASSIVE
Sprite ground/underground/ground/top/1.png 1833 178 MASSIVE
Sprite ground/underground/ground/middle/1.png 1833 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 1833 50 MASSIVE
Sprite pipes/green/ver.png 1615 576 MASSIVE
Sprite pipes/green/down.png 1615 526 MASSIVE
Sprite ground/underground/ground/bottom/right.png 1534 510 MASSIVE
Sprite ground/underground/ground/middle/right.png 1534 574 MASSIVE
Sprite ground/underground/ground/middle/right_bottom.png 1534 637 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1598 637 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1662 637 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 1726 637 MASSIVE
Sprite ground/underground/ground/middle/left.png 1726 574 MASSIVE
Sprite ground/underground/ground/bottom/left.png 1726 510 MASSIVE
Sprite ground/underground/ground/bottom/left.png 1150 510 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 1150 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1214 510 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1278 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 1214 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 1278 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1342 510 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1406 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 1342 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 1406 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1470 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 1470 574 MASSIVE
Sprite ground/underground/ground/middle/right.png 1472 59 MASSIVE
Sprite ground/underground/ground/middle/1.png 1152 59 MASSIVE
Sprite ground/underground/ground/middle/1.png 1216 59 MASSIVE
Sprite ground/underground/ground/middle/1.png 1280 59 MASSIVE
Sprite ground/underground/ground/middle/1.png 1344 59 MASSIVE
Sprite ground/underground/ground/middle/1.png 1408 59 MASSIVE
Sprite ground/underground/ground/top/1.png 1897 178 MASSIVE
Sprite ground/underground/ground/middle/1.png 1897 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 1897 50 MASSIVE
Sprite ground/underground/ground/top/1.png 1961 178 MASSIVE
Sprite ground/underground/ground/middle/1.png 1961 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 1961 50 MASSIVE
Sprite ground/underground/ground/top/1.png 2025 178 MASSIVE
Sprite ground/underground/ground/middle/1.png 2025 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 2025 50 MASSIVE
Sprite ground/underground/ground/top/1.png 2088 178 MASSIVE
Sprite ground/underground/ground/middle/1.png 2088 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 2088 50 MASSIVE
Sprite ground/underground/ground/top/1.png 2152 178 MASSIVE
Sprite ground/underground/ground/middle/1.png 2152 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 2152 50 MASSIVE
Sprite ground/underground/ground/top/1.png 2216 178 MASSIVE
Sprite ground/underground/ground/middle/1.png 2216 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 2216 50 MASSIVE
Sprite ground/underground/ground/top/right.png 2280 178 MASSIVE
Sprite ground/underground/ground/middle/right_top.png 2280 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 2280 50 MASSIVE
Sprite ground/underground/ground/top/1.png 2344 114 MASSIVE
Sprite ground/underground/ground/top/1.png 2408 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 2344 50 MASSIVE
Sprite ground/underground/ground/middle/1.png 2408 50 MASSIVE
Sprite ground/underground/ground/middle/1.png 2472 50 MASSIVE
Sprite ground/underground/ground/top/1.png 2472 114 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1790 510 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1854 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 1790 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 1854 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1918 510 MASSIVE
Sprite ground/underground/ground/bottom/1.png 1982 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 1918 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 1982 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2046 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 2046 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2110 510 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2174 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 2110 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 2174 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2238 510 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2302 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 2238 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 2302 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2558 446 MASSIVE
Sprite ground/underground/ground/middle/1.png 2558 510 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2622 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2686 446 MASSIVE
Sprite ground/underground/ground/middle/1.png 2622 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 2686 510 MASSIVE
Sprite ground/underground/ground/top/right.png 2664 114 MASSIVE
Sprite ground/underground/ground/top/1.png 2536 114 MASSIVE
Sprite ground/underground/ground/middle/1.png 2536 50 MASSIVE
Sprite ground/underground/ground/middle/1.png 2600 50 MASSIVE
Sprite ground/underground/ground/top/1.png 2600 114 MASSIVE
Sprite ground/underground/ground/middle/right.png 2664 50 MASSIVE
Sprite ground/underground/ground/top/left.png 2950 245 MASSIVE
Sprite ground/underground/ground/middle/left.png 2950 181 MASSIVE
Sprite ground/underground/ground/middle/left.png 2950 117 MASSIVE
Sprite ground/underground/ground/middle/left.png 2950 53 MASSIVE
Sprite ground/underground/ground/top/1.png 3014 245 MASSIVE
Sprite ground/underground/ground/middle/1.png 3014 181 MASSIVE
Sprite ground/underground/ground/middle/1.png 3014 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3014 53 MASSIVE
Sprite ground/underground/ground/top/left.png 4754 174 MASSIVE
Sprite ground/underground/ground/middle/left.png 4754 110 MASSIVE
Sprite ground/underground/ground/middle/left.png 4754 46 MASSIVE
Sprite ground/underground/ground/top/1.png 4818 174 MASSIVE
Sprite ground/underground/ground/middle/1.png 4818 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 4818 46 MASSIVE
Sprite ground/underground/ground/bottom/left.png 2366 446 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 2366 510 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2430 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2494 446 MASSIVE
Sprite ground/underground/ground/middle/1.png 2430 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 2494 510 MASSIVE
Sprite ground/underground/ground/bottom/right.png 2750 446 MASSIVE
Sprite ground/underground/ground/middle/right.png 2750 510 MASSIVE
Sprite ground/underground/ground/middle/right_bottom.png 2750 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2814 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 2878 574 MASSIVE
Sprite ground/underground/ground/top/1.png 3078 245 MASSIVE
Sprite ground/underground/ground/middle/1.png 3078 181 MASSIVE
Sprite ground/underground/ground/middle/1.png 3078 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3078 53 MASSIVE
Sprite ground/underground/ground/top/1.png 3142 245 MASSIVE
Sprite ground/underground/ground/middle/1.png 3142 181 MASSIVE
Sprite ground/underground/ground/middle/1.png 3142 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3142 53 MASSIVE
Sprite pipes/green/ver.png 3025 643 MASSIVE
Sprite pipes/green/ver.png 3025 593 MASSIVE
Sprite pipes/green/down.png 3025 543 MASSIVE
Sprite ground/underground/ground/bottom/right.png 2942 574 MASSIVE
Sprite ground/underground/ground/middle/right.png 2942 638 MASSIVE
Sprite ground/underground/ground/middle/right_bottom.png 2942 701 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3006 701 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3070 701 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 3134 701 MASSIVE
Sprite ground/underground/ground/middle/left.png 3134 638 MASSIVE
Sprite ground/underground/ground/bottom/left.png 3134 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3198 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3262 574 MASSIVE
Sprite ground/underground/ground/top/1.png 3206 245 MASSIVE
Sprite ground/underground/ground/middle/1.png 3206 181 MASSIVE
Sprite ground/underground/ground/middle/1.png 3206 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3206 53 MASSIVE
Sprite ground/underground/ground/top/1.png 3270 245 MASSIVE
Sprite ground/underground/ground/middle/1.png 3270 181 MASSIVE
Sprite ground/underground/ground/middle/1.png 3270 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3270 53 MASSIVE
Sprite ground/underground/ground/top/1.png 3334 245 MASSIVE
Sprite ground/underground/ground/middle/1.png 3334 181 MASSIVE
Sprite ground/underground/ground/middle/1.png 3334 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3334 53 MASSIVE
Sprite ground/underground/ground/top/1.png 3398 245 MASSIVE
Sprite ground/underground/ground/middle/1.png 3398 181 MASSIVE
Sprite ground/underground/ground/middle/1.png 3398 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3398 53 MASSIVE
Sprite ground/underground/ground/middle/left_top.png 3462 245 MASSIVE
Sprite ground/underground/ground/top/left.png 3462 309 MASSIVE
Sprite ground/underground/ground/top/1.png 3526 309 MASSIVE
Sprite ground/underground/ground/middle/1.png 3526 245 MASSIVE
Sprite ground/underground/ground/middle/1.png 3526 181 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3326 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3390 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3454 574 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3518 574 MASSIVE
Sprite ground/underground/ground/top/right.png 3590 309 MASSIVE
Sprite ground/underground/ground/middle/right.png 3590 245 MASSIVE
Sprite ground/underground/ground/middle/right.png 3590 181 MASSIVE
Sprite ground/underground/ground/middle/right.png 3590 117 MASSIVE
Sprite ground/underground/ground/middle/right.png 3590 53 MASSIVE
Sprite ground/underground/ground/middle/1.png 3526 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3526 53 MASSIVE
Sprite ground/underground/ground/middle/1.png 3462 181 MASSIVE
Sprite ground/underground/ground/middle/1.png 3462 117 MASSIVE
Sprite ground/underground/ground/middle/1.png 3462 53 MASSIVE
Sprite pipes/green/up.png 4069 230 MASSIVE
Sprite pipes/green/ver.png 4069 180 MASSIVE
Sprite pipes/green/ver.png 4069 130 MASSIVE
Sprite pipes/green/ver.png 4069 80 MASSIVE
Sprite pipes/green/ver.png 4069 30 MASSIVE
Sprite ground/underground/ground/bottom/right.png 3582 574 MASSIVE
Sprite ground/underground/ground/middle/right.png 3582 638 MASSIVE
Sprite ground/underground/ground/middle/right_bottom.png 3582 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3710 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3774 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3838 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3902 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 3966 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4030 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4094 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4158 702 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 4606 702 MASSIVE
Sprite ground/underground/ground/middle/left.png 4862 574 MASSIVE
Sprite ground/underground/ground/bottom/left.png 4606 638 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4222 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4286 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4350 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4414 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4478 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4542 702 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4670 638 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4734 638 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4798 638 MASSIVE
Sprite ground/underground/ground/middle/left_bottom.png 4862 638 MASSIVE
Sprite ground/underground/ground/bottom/left.png 4862 446 MASSIVE
Sprite ground/underground/ground/middle/left.png 4862 510 MASSIVE
Sprite ground/underground/ground/top/1.png 4882 174 MASSIVE
Sprite ground/underground/ground/middle/1.png 4882 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 4882 46 MASSIVE
Sprite ground/underground/ground/top/1.png 4946 174 MASSIVE
Sprite ground/underground/ground/middle/1.png 4946 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 4946 46 MASSIVE
Sprite ground/underground/ground/top/1.png 5010 174 MASSIVE
Sprite ground/underground/ground/middle/1.png 5010 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 5010 46 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4926 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 4990 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 5054 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 5118 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 5182 446 MASSIVE
Sprite ground/underground/ground/top/1.png 5074 174 MASSIVE
Sprite ground/underground/ground/middle/1.png 5074 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 5074 46 MASSIVE
Sprite ground/underground/ground/top/1.png 5138 174 MASSIVE
Sprite ground/underground/ground/middle/1.png 5138 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 5138 46 MASSIVE
Sprite ground/underground/ground/top/1.png 5202 174 MASSIVE
Sprite ground/underground/ground/middle/1.png 5202 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 5202 46 MASSIVE
Sprite ground/underground/ground/top/1.png 5266 174 MASSIVE
Sprite ground/underground/ground/middle/1.png 5266 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 5266 46 MASSIVE
Sprite ground/underground/ground/top/right.png 5330 174 MASSIVE
Sprite ground/underground/ground/middle/right_top.png 5330 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 5330 46 MASSIVE
Sprite ground/underground/ground/top/1.png 5394 110 MASSIVE
Sprite ground/underground/ground/middle/1.png 5394 46 MASSIVE
Sprite ground/underground/ground/middle/1.png 4926 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 4926 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 4990 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 4990 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 5054 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 5054 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 5118 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 5118 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 5182 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 5182 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 5246 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 5246 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 5310 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 5310 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 5374 574 MASSIVE
Sprite ground/underground/ground/middle/1.png 5374 510 MASSIVE
Sprite ground/underground/ground/middle/1.png 4670 766 MASSIVE
Sprite ground/underground/ground/middle/1.png 4670 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 4734 766 MASSIVE
Sprite ground/underground/ground/middle/1.png 4734 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 4798 766 MASSIVE
Sprite ground/underground/ground/middle/1.png 4798 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 4862 766 MASSIVE
Sprite ground/underground/ground/middle/1.png 4862 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 4926 766 MASSIVE
Sprite ground/underground/ground/middle/1.png 4926 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 4990 766 MASSIVE
Sprite ground/underground/ground/middle/1.png 4990 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 5054 766 MASSIVE
Sprite ground/underground/ground/middle/1.png 5054 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 5118 766 MASSIVE
Sprite ground/underground/ground/middle/1.png 5118 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 3198 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 3198 638 MASSIVE
Sprite ground/underground/ground/middle/1.png 3262 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 3262 638 MASSIVE
Sprite ground/underground/ground/middle/1.png 3326 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 3326 638 MASSIVE
Sprite ground/underground/ground/middle/1.png 3390 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 3390 638 MASSIVE
Sprite ground/underground/ground/middle/1.png 3454 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 3454 638 MASSIVE
Sprite ground/underground/ground/middle/1.png 3518 702 MASSIVE
Sprite ground/underground/ground/middle/1.png 3518 638 MASSIVE
Sprite ground/underground/ground/bottom/1.png 5246 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 5310 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 5374 446 MASSIVE
Sprite ground/underground/ground/bottom/1.png 5438 446 MASSIVE
Sprite ground/underground/ground/top/1.png 5458 110 MASSIVE
